periodo,tipo_indicador,nombre,valor_promedio,valor_min,valor_max,valor_std
2017-07,morosidad,Morosidad Estresada,4.3948591499533185,0.0,8.349579858529465,2.6710019909637026
2017-07,morosidad,Morosidad Simple,2.25,2.25,2.25,
2017-07,principales,ROA,1.63,1.63,1.63,
2017-07,principales,ROE (Rentabilidad del Patrimonio),16.46,16.46,16.46,
2017-07,principales,Índice Solvencia,18.56,18.56,18.56,
2017-08,financieros,Activos Improductivos / Patrimonio Neto,2.3,2.3,2.3,
2017-08,financieros,Activos Netos Totales / Patrimonio Neto,9.7,9.7,9.7,
2017-08,financieros,Margen de Intermediación Neto,9.05,9.05,9.05,
2017-08,financieros,Spread de Tasas de Interés,11.796721850528186,11.796721850528186,11.796721850528186,
2017-08,morosidad,Morosidad Estresada,4.304807238938485,0.0,7.919310975718767,2.5527393700560066
2017-08,morosidad,Morosidad Simple,2.31,2.31,2.31,
2017-08,principales,ROA,1.66,1.66,1.66,
2017-08,principales,ROE (Rentabilidad del Patrimonio),16.75,16.75,16.75,
2017-08,principales,Índice Solvencia,18.54,18.54,18.54,
2017-09,financieros,Activos Improductivos / Patrimonio Neto,2.36,2.36,2.36,
2017-09,financieros,Activos Netos Totales / Patrimonio Neto,9.76,9.76,9.76,
2017-09,financieros,Margen de Intermediación Neto,9.01,9.01,9.01,
2017-09,financieros,Spread de Tasas de Interés,11.639763696228272,11.639763696228272,11.639763696228272,
2017-09,morosidad,Morosidad Estresada,4.3836681489662315,0.0,8.392412406529655,2.6795142015465503
2017-09,morosidad,Morosidad Simple,2.34,2.34,2.34,
2017-09,principales,ROA,1.62,1.62,1.62,
2017-09,principales,ROE (Rentabilidad del Patrimonio),16.5,16.5,16.5,
2017-09,principales,Índice Solvencia,18.67,18.67,18.67,
2017-10,financieros,Activos Improductivos / Patrimonio Neto,2.33,2.33,2.33,
2017-10,financieros,Activos Netos Totales / Patrimonio Neto,9.74,9.74,9.74,
2017-10,financieros,Margen de Intermediación Neto,9.05,9.05,9.05,
2017-10,financieros,Spread de Tasas de Interés,11.731226305926517,11.731226305926517,11.731226305926517,
2017-10,morosidad,Morosidad Estresada,4.21508923614864,0.030342404407202116,8.48527644460777,2.5305659896537254
2017-10,morosidad,Morosidad Simple,2.27,2.27,2.27,
2017-10,principales,ROA,1.63,1.63,1.63,
